2026-05-21 14:44:56,603 [INFO] paper-strat: [MainEngine] 订阅行情 -> AKSHARE：SubscribeRequest(symbol='002149', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 14:44:56,604 [INFO] paper-strat: [AKSHARE] 订阅 002149.SZSE (累计 22 只)
2026-05-21 14:44:58,502 [INFO] paper-strat: 🚀 全部 22 个策略已启动
2026-05-21 14:44:58,502 [INFO] paper-strat: limited mode: 1231s 后退出
2026-05-21 14:45:00,517 [INFO] paper-strat: 📊 TICK 301120.SZSE 新特电气 23.09 (-5.45%)
2026-05-21 14:45:00,518 [INFO] paper-strat: 📊 TICK 002156.SZSE 通富微电 62.10 (-0.29%)
2026-05-21 14:45:00,519 [INFO] paper-strat: 📊 TICK 002709.SZSE 天赐材料 57.99 (-0.02%)
2026-05-21 14:45:00,519 [INFO] paper-strat: 📊 TICK 601222.SSE 林洋能源 6.35 (-4.22%)
2026-05-21 14:45:00,520 [INFO] paper-strat: 📊 TICK 002453.SZSE 华软科技 5.71 (-5.46%)
2026-05-21 14:45:00,524 [INFO] paper-strat: 📊 TICK 002149.SZSE 西部材料 69.80 (+1.03%)
2026-05-21 14:45:00,525 [INFO] paper-strat: 📊 TICK 600310.SSE 广西能源 5.12 (+0.99%)
2026-05-21 14:45:00,526 [INFO] paper-strat: 📊 TICK 603178.SSE 圣龙股份 19.81 (-7.34%)
2026-05-21 14:45:00,526 [INFO] paper-strat: 📊 TICK 600330.SSE 天通股份 27.60 (-3.87%)
2026-05-21 14:45:00,530 [INFO] paper-strat: 📊 TICK 002067.SZSE 景兴纸业 5.25 (+3.14%)
2026-05-21 14:45:00,531 [INFO] paper-strat: 📊 TICK 002428.SZSE 云南锗业 84.78 (-6.84%)
2026-05-21 14:45:00,531 [INFO] paper-strat: 📊 TICK 603986.SSE 兆易创新 432.57 (-2.80%)
2026-05-21 14:45:05,766 [INFO] paper-strat: 📊 TICK 000899.SZSE 赣能股份 12.94 (-3.58%)
2026-05-21 14:45:05,770 [INFO] paper-strat: 📊 TICK 002156.SZSE 通富微电 62.14 (-0.22%)
2026-05-21 14:45:05,771 [INFO] paper-strat: 📊 TICK 605006.SSE 山东玻纤 14.30 (-0.49%)
2026-05-21 14:45:05,772 [INFO] paper-strat: 📊 TICK 301179.SZSE 泽宇智能 24.64 (-7.02%)
2026-05-21 14:45:05,773 [INFO] paper-strat: 📊 TICK 000600.SZSE 建投能源 10.15 (-0.10%)
2026-05-21 14:45:05,773 [INFO] paper-strat: 📊 TICK 600330.SSE 天通股份 27.61 (-3.83%)
2026-05-21 14:45:05,778 [INFO] paper-strat: 📊 TICK 002067.SZSE 景兴纸业 5.24 (+2.95%)
2026-05-21 14:45:05,779 [INFO] paper-strat: 📊 TICK 002428.SZSE 云南锗业 84.80 (-6.81%)
2026-05-21 14:45:05,779 [INFO] paper-strat: 📊 TICK 603986.SSE 兆易创新 432.60 (-2.79%)
2026-05-21 14:45:11,024 [INFO] paper-strat: 📊 TICK 000899.SZSE 赣能股份 12.92 (-3.73%)
2026-05-21 14:45:11,029 [INFO] paper-strat: 📊 TICK 301120.SZSE 新特电气 23.12 (-5.32%)
2026-05-21 14:45:11,030 [INFO] paper-strat: 📊 TICK 002156.SZSE 通富微电 62.19 (-0.14%)
2026-05-21 14:45:11,031 [INFO] paper-strat: 📊 TICK 002709.SZSE 天赐材料 58.00 (+0.00%)
2026-05-21 14:45:11,032 [INFO] paper-strat: 📊 TICK 601222.SSE 林洋能源 6.36 (-4.07%)
2026-05-21 14:45:11,032 [INFO] paper-strat: 📊 TICK 002453.SZSE 华软科技 5.72 (-5.30%)
2026-05-21 14:45:11,033 [INFO] paper-strat: 📊 TICK 301179.SZSE 泽宇智能 24.65 (-6.98%)
2026-05-21 14:45:11,037 [INFO] paper-strat: 📊 TICK 600310.SSE 广西能源 5.13 (+1.18%)
2026-05-21 14:45:11,039 [INFO] paper-strat: 📊 TICK 001896.SZSE 豫能控股 16.18 (+8.74%)
2026-05-21 14:45:11,042 [INFO] paper-strat: 📊 TICK 002067.SZSE 景兴纸业 5.23 (+2.75%)
2026-05-21 14:45:11,044 [INFO] paper-strat: 📊 TICK 002428.SZSE 云南锗业 84.85 (-6.76%)
2026-05-21 14:45:11,044 [INFO] paper-strat: 📊 TICK 600021.SSE 上海电力 18.00 (-3.64%)
2026-05-21 14:45:11,044 [INFO] paper-strat: 📊 TICK 603986.SSE 兆易创新 432.61 (-2.79%)
2026-05-21 14:45:11,045 [INFO] paper-strat: 📊 TICK 603601.SSE 再升科技 17.71 (+0.62%)
2026-05-21 14:45:13,504 [INFO] paper-strat: ♥ 心跳 | 策略 22 个 | tick 22
2026-05-21 14:45:16,260 [INFO] paper-strat: 📊 TICK 301120.SZSE 新特电气 23.16 (-5.16%)
2026-05-21 14:45:16,262 [INFO] paper-strat: 📊 TICK 002156.SZSE 通富微电 62.48 (+0.32%)
2026-05-21 14:45:16,262 [INFO] paper-strat: 📊 TICK 002709.SZSE 天赐材料 58.07 (+0.12%)
2026-05-21 14:45:16,263 [INFO] paper-strat: 📊 TICK 601222.SSE 林洋能源 6.35 (-4.22%)
2026-05-21 14:45:16,266 [INFO] paper-strat: 📊 TICK 002149.SZSE 西部材料 69.81 (+1.04%)
2026-05-21 14:45:16,266 [INFO] paper-strat: 📊 TICK 001896.SZSE 豫能控股 16.19 (+8.80%)
2026-05-21 14:45:16,267 [INFO] paper-strat: 📊 TICK 603178.SSE 圣龙股份 19.85 (-7.16%)
2026-05-21 14:45:16,268 [INFO] paper-strat: 📊 TICK 600330.SSE 天通股份 27.72 (-3.45%)
2026-05-21 14:45:16,272 [INFO] paper-strat: 📊 TICK 002067.SZSE 景兴纸业 5.24 (+2.95%)
2026-05-21 14:45:16,273 [INFO] paper-strat: 📊 TICK 002428.SZSE 云南锗业 84.99 (-6.60%)
2026-05-21 14:45:16,273 [INFO] paper-strat: 📊 TICK 600863.SSE 华能蒙电 5.53 (+2.79%)
2026-05-21 14:45:16,274 [INFO] paper-strat: 📊 TICK 600021.SSE 上海电力 17.99 (-3.69%)
2026-05-21 14:45:16,274 [INFO] paper-strat: 📊 TICK 603986.SSE 兆易创新 433.01 (-2.70%)
2026-05-21 14:45:21,491 [INFO] paper-strat: 📊 TICK 000899.SZSE 赣能股份 12.91 (-3.80%)
2026-05-21 14:45:21,495 [INFO] paper-strat: 📊 TICK 301120.SZSE 新特电气 23.18 (-5.08%)
2026-05-21 14:45:21,495 [INFO] paper-strat: 📊 TICK 002156.SZSE 通富微电 62.27 (-0.02%)
2026-05-21 14:45:21,497 [INFO] paper-strat: 📊 TICK 002709.SZSE 天赐材料 58.06 (+0.10%)
2026-05-21 14:45:21,497 [INFO] paper-strat: 📊 TICK 605006.SSE 山东玻纤 14.32 (-0.35%)
2026-05-21 14:45:21,498 [INFO] paper-strat: 📊 TICK 301179.SZSE 泽宇智能 24.71 (-6.75%)
