code,entry,exit,entry_p,exit_p,pnl,days,win,bin,month
sh600330,2025-09-17 14:00:00,2025-09-23 11:30:00,11.58,11.64,0.52,5,1,0~2%,2025-09
sh600330,2025-10-22 11:30:00,2025-10-28 11:30:00,10.76,10.26,-4.65,6,0,-5~-2%,2025-10
sh600330,2025-11-25 11:30:00,2025-12-15 14:00:00,9.6,11.75,22.4,20,1,>10%,2025-12
sh600330,2025-12-19 14:00:00,2025-12-30 11:30:00,11.8,12.64,7.12,10,1,5~10%,2025-12
sh600330,2026-01-07 15:00:00,2026-01-14 15:00:00,13.47,12.77,-5.2,7,0,-10~-5%,2026-01
sh600330,2026-01-22 11:30:00,2026-01-28 15:00:00,12.95,12.56,-3.01,6,0,-5~-2%,2026-01
sh600330,2026-01-30 15:00:00,2026-02-05 11:30:00,13.56,15.52,14.45,5,1,>10%,2026-02
sh600330,2026-02-10 11:30:00,2026-02-24 10:30:00,17.53,17.38,-0.86,13,0,-2~0%,2026-02
sh600330,2026-03-03 14:00:00,2026-03-09 11:30:00,18.5,15.0,-18.92,5,0,<-10%,2026-03
sh600330,2026-03-10 14:00:00,2026-03-17 11:30:00,17.22,17.03,-1.1,6,0,-2~0%,2026-03
sh600330,2026-03-27 14:00:00,2026-05-15 11:30:00,16.88,29.99,77.67,48,1,>10%,2026-05
sh600330,2026-05-25 11:30:00,2026-06-01 11:30:00,30.73,30.23,-1.63,7,0,-2~0%,2026-06
sh601318,2025-06-20 14:00:00,2025-06-30 11:30:00,54.62,55.47,1.56,9,1,0~2%,2025-06
sh601318,2025-07-04 15:00:00,2025-07-16 11:30:00,56.7,56.5,-0.35,11,0,-2~0%,2025-07
sh601318,2025-07-23 14:00:00,2025-07-31 15:00:00,58.16,59.06,1.55,8,1,0~2%,2025-07
sh601318,2025-08-14 11:30:00,2025-08-20 10:30:00,60.32,58.09,-3.7,5,0,-5~-2%,2025-08
sh601318,2025-08-25 10:30:00,2025-08-28 10:30:00,60.6,58.75,-3.05,3,0,-5~-2%,2025-08
sh601318,2025-08-29 11:30:00,2025-09-04 10:30:00,60.32,57.77,-4.23,5,0,-5~-2%,2025-09
sh601318,2025-09-29 15:00:00,2025-11-21 11:30:00,57.25,59.31,3.6,52,1,2~5%,2025-11
sh601318,2025-12-05 15:00:00,2025-12-31 11:30:00,61.87,68.51,10.73,25,1,>10%,2025-12
sh601318,2026-01-05 11:30:00,2026-01-08 15:00:00,72.38,70.54,-2.54,3,0,-5~-2%,2026-01
sh601318,2026-01-29 15:00:00,2026-02-13 11:30:00,67.41,65.87,-2.28,14,0,-5~-2%,2026-02
sh601318,2026-03-17 11:30:00,2026-03-20 15:00:00,62.58,60.03,-4.07,3,0,-5~-2%,2026-03
sh601318,2026-04-01 11:30:00,2026-04-13 14:00:00,57.96,57.76,-0.35,12,0,-2~0%,2026-04
sh601318,2026-04-15 11:30:00,2026-04-23 14:00:00,59.1,57.56,-2.61,8,0,-5~-2%,2026-04
sh601318,2026-04-29 15:00:00,2026-05-13 11:30:00,59.18,58.65,-0.9,13,0,-2~0%,2026-05
sh601318,2026-06-02 11:30:00,2026-06-09 15:00:00,54.07,53.93,-0.26,7,0,-2~0%,2026-06
sh600900,2025-06-10 14:00:00,2025-06-27 14:00:00,30.23,30.47,0.79,17,1,0~2%,2025-06
sh600900,2025-07-11 14:00:00,2025-07-18 11:30:00,30.5,29.59,-2.98,6,0,-5~-2%,2025-07
