没有配置要使用的数据服务，请修改全局配置中的datafeed相关内容
2026-05-21 10:05:57.643 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='002067', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 10:05:57.644 | INFO | AKSHARE | 订阅 002067.SZSE (累计 23 只)
2026-05-21 10:05:57.645 | INFO | CtaStrategy | thr_002067初始化完成
2026-05-21 10:05:57.645 | INFO | CtaStrategy | thr_000899开始执行初始化
2026-05-21 10:05:57.646 | INFO | CtaStrategy | [thr_000899]  策略初始化: 000899.SZSE
2026-05-21 10:05:57.646 | INFO | CtaStrategy | [thr_000899]    规则: buy_zone=13.0 buy_strong=12.2 trend_break=11.5 take_profit=0.0 auto=False
2026-05-21 10:05:57.647 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='000899', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 10:05:57.649 | INFO | AKSHARE | 订阅 000899.SZSE (累计 23 只)
2026-05-21 10:05:57.650 | INFO | CtaStrategy | thr_000899初始化完成
2026-05-21 10:05:57.651 | INFO | CtaStrategy | thr_001896开始执行初始化
2026-05-21 10:05:57.651 | INFO | CtaStrategy | [thr_001896]  策略初始化: 001896.SZSE
2026-05-21 10:05:57.652 | INFO | CtaStrategy | [thr_001896]    规则: buy_zone=14.5 buy_strong=13.5 trend_break=12.8 take_profit=0.0 auto=False
2026-05-21 10:05:57.652 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='001896', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 10:05:57.654 | INFO | AKSHARE | 订阅 001896.SZSE (累计 23 只)
2026-05-21 10:05:57.655 | INFO | CtaStrategy | thr_001896初始化完成
2026-05-21 10:05:57.656 | INFO | CtaStrategy | thr_600310开始执行初始化
2026-05-21 10:05:57.656 | INFO | CtaStrategy | [thr_600310]  策略初始化: 600310.SSE
2026-05-21 10:05:57.657 | INFO | CtaStrategy | [thr_600310]    规则: buy_zone=4.95 buy_strong=4.7 trend_break=4.5 take_profit=0.0 auto=False
2026-05-21 10:05:57.657 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='600310', exchange=<Exchange.SSE: 'SSE'>)
